1)
Procesos del usuario con el coamdno ps -fu mauriayllon

UID         PID   PPID  C STIME TTY          TIME CMD
root        373      2  0 Feb12 ?        00:00:00 [ext4-rsv-conver]
root        414      1  0 Feb12 ?        00:00:03 /lib/systemd/systemd-journald
root        424      1  0 Feb12 ?        00:00:00 /lib/systemd/systemd-udevd
systemd+    516      1  0 Feb12 ?        00:00:03 /lib/systemd/systemd-resolved
systemd+    518      1  0 Feb12 ?        00:00:00 /lib/systemd/systemd-timesyncd
syslog      541      1  0 Feb12 ?        00:00:00 /usr/sbin/rsyslogd -n
root        544      1  0 Feb12 ?        00:00:00 /lib/systemd/systemd-logind
root        548      1  0 Feb12 ?        00:00:00 /usr/sbin/cron -f
root        552      1  0 Feb12 ?        00:00:01 /usr/sbin/acpid
root        553      1  0 Feb12 ?        00:00:01 /usr/lib/accountsservice/accounts-daemon
avahi       563      1  0 Feb12 ?        00:00:03 avahi-daemon: running [ubuntu.local]
avahi       568    563  0 Feb12 ?        00:00:00 avahi-daemon: chroot helper
root        572      1  0 Feb12 ?        00:00:00 /usr/lib/udisks2/udisksd
root        575      1  0 Feb12 ?        00:00:00 /usr/sbin/ModemManager --filter-policy=strict
message+    592      1  0 Feb12 ?        00:00:04 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root        616      1  0 Feb12 ?        00:00:07 /usr/sbin/NetworkManager --no-daemon
root        617      1  0 Feb12 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root        618      1  0 Feb12 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root        635      1  0 Feb12 ?        00:00:00 /usr/lib/policykit-1/polkitd --no-debug
root        668      1  0 Feb12 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root        719      2  0 Feb12 ?        00:00:00 [kworker/u257:1-]
root        722      2  0 Feb12 ?        00:00:10 [irq/16-vmwgfx]
root        724      2  0 Feb12 ?        00:00:00 [ttm_swap]
whoopsie    812      1  0 Feb12 ?        00:00:00 /usr/bin/whoopsie -f
kernoops    815      1  0 Feb12 ?        00:00:01 /usr/sbin/kerneloops --test
kernoops    820      1  0 Feb12 ?        00:00:01 /usr/sbin/kerneloops
root        911      1  0 Feb12 ?        00:00:00 /usr/lib/bluetooth/bluetoothd
root       1274      1  0 Feb12 ?        00:00:11 /usr/lib/packagekit/packagekitd
root       1726      1  0 Feb12 ?        00:01:53 /usr/bin/vmtoolsd
root       1838      1  0 Feb12 ?        00:00:00 /usr/bin/VGAuthService
root       3331      2  0 Feb12 ?        00:00:00 [loop1]
root       3334      1  0 Feb12 ?        00:00:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
root       3444      2  0 Feb12 ?        00:00:00 [loop2]
